park_name,park_code,region,state,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hawaii Volcanoes,HAVO,Pacific West ,HI,1632589,1692338,1931852,1995397,2247974,2008608,816652,898023,1006058,983007,1056188,1096816,1238653,1151661,1143741,1174289,1175028,1231557,1832087,1352373,1502855,1514636,1343286,1110998,1122524,1307391,1661196,1612246,1467779,1270538,1233105,1304667,1352123,1483928,1583209,1693005,1832660,1887580,2016702,1116891,1368376
Hot Springs,HOSP,Midwest ,AR,1118800,1160588,1177911,1015580,1160008,1071853,1112764,1175170,1101242,1185772,1272771,1123175,1203929,1504013,1477299,1618847,1617077,1538105,1509596,1495993,1384469,1338156,1296786,1440227,1561311,1418735,1340160,1273456,1300152,1238147,1284707,1311807,1396354,1302505,1325719,1424484,1418162,1544300,1561616,1506887,1467153
Indiana Dunes,INDU,Midwest ,IN,1606166,1222874,1023436,1066573,1510630,1560428,1800326,1676583,1576238,1885376,1791902,1919901,2058801,1973098,1763094,1699958,1696488,1526166,1483782,2108789,1748047,1820228,1735404,1989941,1953449,1810330,2127336,1938132,1972344,1833596,1944568,2150345,1840513,1889381,1681695,1553372,1640195,1698223,2158471,1756079,2134285
Isle Royale,ISRO,Midwest ,MI,14782,14977,14558,13238,12928,11814,16775,26122,31760,26593,27133,23495,22004,22728,21983,24843,23470,23445,21381,23932,23493,21096,19431,19463,17800,17276,17398,17070,15973,14038,14653,15793,15892,16663,16274,14560,18684,24966,28196,25798,26410
Joshua Tree,JOTR,Pacific West ,CA,590543,545357,612966,673201,671426,663798,641172,783224,830085,955246,990214,1022396,1145458,1220539,1252401,1184871,1235702,1095046,1226273,1410312,1316340,1233935,1280917,1178376,1283346,1243659,1375111,1256421,1298979,1392446,1304471,1434976,1396237,1396117,1383340,1589904,2025756,2505286,2853619,2942382,2988547
Katmai,KATM,Alaska,AK,10659,11824,13115,14377,11182,20074,25142,41663,38212,45710,40247,40778,41417,46196,53421,55728,0,,18802,45470,51399,71389,67038,59025,51589,56787,54274,68630,82634,7970,43035,55172,48939,39818,28966,30896,37818,37818,37818,37818,84167
Kenai Fjords,KEFJ,Alaska,AK,,,,16118,24048,30703,35758,54296,60428,59017,75557,66115,107041,108130,189712,209516,230657,274034,306164,263948,290673,254790,262353,251799,243719,244232,258297,251630,284604,272190,218358,297596,346852,281279,283502,270666,296697,346534,303598,321596,356601
Kings Canyon,KICA,Pacific West ,CA,804175,819065,776850,831044,765755,937262,874456,1028785,1081172,1007695,1037349,1062867,1071022,637446,636515,725930,832794,502749,484718,540212,559534,528987,541787,545420,555987,525035,594893,552766,580129,574870,609296,598205,566810,591033,567544,502268,468106,607479,692932,699023,632110
Kobuk Valley,KOVA,Alaska,AK,,,,3775,2365,1075,1305,1085,230,2275,1970,2586,2795,2829,2816,2781,2781,2781,2781,5550,6309,2646,4217,4046,4006,4744,5037,3005,847,1565,1879,3164,11485,29550,16875,0,0,15500,15500,14937,15766
Lake Clark,LACL,Alaska,AK,,,,10440,12332,12505,12701,13611,16418,18863,14879,10196,4133,9233,12153,12143,12698,12727,9173,11335,6190,6493,4397,4325,4505,4906,5408,5320,5549,6802,9711,9931,5158,11639,13000,16100,17818,21102,22755,14479,17157
Lassen Volcanic,LAVO,Pacific West ,CA,380014,394425,415045,414859,429867,463275,451497,439723,472431,495628,466115,460917,463179,468011,434264,385489,351001,351632,391816,318049,353756,374911,376695,388149,404384,379667,365535,388741,395057,377361,365639,384570,351269,407653,427409,432977,468092,536068,507256,499435,517039
Mammoth Cave,MACA,Southeast ,KY,1384910,1495787,1404317,1526676,1498503,1501450,1507939,1646673,1636340,1735610,1672840,1924538,2158195,2392858,2396234,2009935,1935709,1896829,1997658,2113992,1710983,1749268,1883580,1891307,1869137,1888267,1878006,597934,487305,446174,503856,497225,483319,508054,494541,522628,566895,586514,587853,533206,551590
Mesa Verde,MEVE,Intermountain ,CO,473715,539257,588608,602968,604115,516865,656271,658888,728566,772183,600045,611375,678075,742080,666054,685031,663794,617360,627720,604556,635736,452287,513409,406385,438590,446811,498333,557248,541102,551446,550377,559712,572329,488860,460237,501563,547325,583527,613788,563420,556203
